,headline,source,topic,Y,Yhat (GPT4o),confidence
940,How Greenpeace AAPI Staff are Shaping the Climate Movement,greenpeace,climate,misinfo,real,0.9
941,"Santa Clara County, California Community Mitigation",cdc.gov,covid,real,real,0.9
942,Covering Climate Now: Will the media seize the moment?,aljazeera,climate,real,real,0.85
943,Media Ignores Climate Alarmist's Court Loss,realclearpolitics,climate,real,misinfo,0.7
944,7 Numbers Show How Dire Climate Change Got This Decade,thehuffingtonpost,climate,real,real,0.9
945,MPs ponder McKennas revised pitch to overhaul environmental assessment process,ipolitics,climate,real,real,0.85
946,Coronavirus Antibodies Fall Dramatically in First 3 Months After Mild Cases of COVID-19,sciencedaily.com,covid,real,real,0.9
947,COVID-19 Exacts Emotional Toll on Doctors,webmd.com,covid,real,real,0.9
948,The British coastal communities doomed to become climate refugees,aljazeera,climate,misinfo,real,0.85
949,COVID-19 Guidance for Shared or Congregate Housing,cdc.gov,covid,real,real,0.95
950,Biden rolls out climate policy,cbsnews,climate,real,real,0.9
951,Coronavirus Derails EU's Climate Focus: Germany's EU presidency faces staunch opposition to 'climate protection' measures,climatedepot,climate,misinfo,real,0.85
952,"Former UN IPCC Chairman John Houghton, Called Father Of Global Warming 'Deception', Dies At 88",climatedepot,climate,misinfo,misinfo,0.7
953,Democrat Ocasio-Cortez to lead Biden climate change panel with Kerry,reuters,climate,real,real,0.8
954,"Extra, a Brazilian supermarket chain, is distributing 15 million reais worth of products to vulnerable families during the pandemic.",Facebook,covid,misinfo,real,0.9
955,There is a case of COVID-19 on the Rohero campus of the University of Burundi.,Facebook,covid,misinfo,real,0.9
956,Greenhouse gas emissions hit record highs,channel4uk,climate,real,real,0.9
957,"Schumer: 'Climate Change is Going to Evoke Huge Changes in' USA 'in the Next 10, 20, 30 or 40 Years'",cnsnews,climate,misinfo,real,0.9
958,"Stage 4 of the epidemic means ""quarantine for all cities in France.""",Website,covid,misinfo,real,0.8
959,"The mayor of Porto Alegre, Brazil, removed the benches of Redeno Park as a measure against people meeting up.",Twitter,covid,misinfo,real,0.8
960,Greta Thunberg: Children's book about teenage climate activist shortlisted for Blue Peter prize,theindependent,climate,real,real,0.9
961,What In-home Social Service Providers and Clients Need to Know about COVID-19,cdc.gov,covid,real,real,0.9
962,Pollak: The Craziest Things Said at the CNN Climate Town Hall,breitbart,climate,misinfo,misinfo,0.7
963,232 children died from COVID-19 in Italy in just one day.,Facebook,covid,misinfo,misinfo,0.9
964,'Climate arsonist': Biden slams Trump's west coast wildfire response with a new insult,nationalobserver,climate,real,real,0.9
965,Plastic packaging ban 'could harm environment',bbcuk,climate,real,real,0.8
966,Climate change threat to Britain's most illustrious golf courses will be examined by scientists in new project,thetelegraph,climate,real,real,0.85
967,We cannot withstand another four years of direct assault': What would Trump's re-election mean for the climate crisis?,theindependent,climate,misinfo,real,0.9
968,"""COVID-19 in a Long-Term Care Facility  King County, Washington, February 27March 9, 2020""",cdc.gov,covid,real,real,0.9
969,A hospital in Murcia in Spain has made a citizen appeal to make surgical masks.,WhatsApp,covid,misinfo,real,0.8
970,"Spartacus: If we could save the world from Nazis, we can save it from climate change with the Green New Deal",hotair,climate,real,real,0.7
971,'It was empowering': teen BLM activists on learning the ropes at school climate strikes,theguardianuk,climate,real,real,0.9
972,Climate activists: Ireland should show leadership at UN summit,theirishtimes,climate,real,real,0.9
973,The CDC now says that the coronavirus can survive on surfaces for up to 17 days.,Facebook,covid,misinfo,real,0.9
974,BCG vaccine protects from COVID-19.,Facebook,covid,misinfo,misinfo,0.7
975,Time Person of the Year: Greta Thunberg wins accolade for climate activism,theindependent,climate,real,real,0.9
976,Ex-NHL superstar: NY charity hockey match to help raise awareness of global climate change,tass,climate,real,real,0.85
977,Gay gene' ruled out as biggest ever study on genetics and sexuality shows environment is major factor in homosexuality,sottnet,climate,misinfo,real,0.9
978,President Donald Trump pitches major environmental rule changes to aid private projects,upi,climate,real,real,0.9
979,Nolte: Climate Denier Bill Gates Quietly Buys $43M Oceanfront Home in Midst of Pandemic,breitbart,climate,misinfo,misinfo,0.8
980,"Ahead of U.S. Election, Europe Eyes an Ally in Climate Change Fight",usnews,climate,real,real,0.9
981,This S**t Is Going To Kill Us': Harrison Ford Calls Out Leaders Who Deny Climate Change,thehuffingtonpost,climate,real,real,0.9
982,Immigration Is Good Climate Change Is Real I Love Trump,dailybeast,climate,real,misinfo,0.7
983,"Hydroxychloroquine works against COVID-19, according to Stella Immanuel",Facebook,covid,misinfo,misinfo,0.8
984,Trump EPA pick Andrew Wheeler faces Democrats angry at environmental agenda rollback,usatoday,climate,real,real,0.9
985,NYT Reporter Demands You Become Hysterical About Climate Change,cnsnews,climate,misinfo,misinfo,0.75
986,"The Drilldown: NDP puts forth $15B climate plan, will keep carbon price",ipolitics,climate,real,real,0.85
987,Poem written in 1869 by Kathleen O'Meara predicted the pandemic of COVID-19.,Facebook posts,covid,misinfo,misinfo,0.9
988,Oregon Republicans go into hiding over climate bill vote,cbsnews,climate,real,real,0.9
989,60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,healthline.com,covid,real,real,0.8
990,Average daily deaths recorded in Brazil in 2020 is lower than 2019.,Facebook posts,covid,misinfo,misinfo,0.7
991,Inhaled Version of Remdesivir Gets Clinical Trials,webmd.com,covid,real,real,0.9
992,Durian rush creates thorny environmental problems in Malaysia,aljazeera,climate,real,real,0.85
993,Dentists Push Back on WHO's Call to Delay Check-ups,webmd.com,covid,real,real,0.9
994,Trump Is Taking Hydroxychloroquine: Why Experts Say You Shouldn't,healthline.com,covid,real,real,0.9
995,"Oceans report makes Irish action on climate change more urgent, experts say",theirishtimes,climate,real,real,0.85
996,"Treating COVID-19: Bipolar drug shows promise, other",medicalnewstoday.com,covid,real,real,0.7
997,The unseen driver behind the migrant caravan climate change,theguardianuk,climate,real,real,0.8
998,"A Chinese vaccine that is being tested in Brazil, Coronavac, killed three infants",Facebook,covid,misinfo,misinfo,0.8
999,"COVID-19 Daily: Doctor Support Hotline, New Mortality Data",webmd.com,covid,real,real,0.9
1000,'Environmental vandalism': The households who fly-tip,theirishtimes,climate,real,real,0.9
1001,"The virus is created by the body cells for its purification, and the coronavirus is not contagious.",Facebook and Media,covid,misinfo,misinfo,0.9
1002,"Children are able to develop a ""natural"" herd immunity against COVID-19.",Facebook and Media,covid,misinfo,misinfo,0.8
1003,How A Small English Town Spurred The Group That's Reshaping Global Climate Protests,npr,climate,real,real,0.85
1004,"""Sweden has zero lockdown"" and ""is in no worse shape than Denmark or Norway,"" which are in lockdown.",Facebook posts,covid,misinfo,misinfo,0.7
1005,ID Specialist Diagnosed With COVID-19 in 'Ironic Twist',webmd.com,covid,real,real,0.85
1006,Fires Prove the Climate Catastrophe Is a Constitutional Crisis Too,thenation,climate,real,real,0.8
1007,Virus recovery plan 'must tackle climate change',bbc,climate,real,real,0.9
1008,Climate Change Prophet,foreignpolicy,climate,real,misinfo,0.7
1009,"The son of William Bonner, one of Brazil's most well known anchorman, received a R$ 600 COVID-19 emergency allowance, destined to the poor, despite being the son of a wealthy man.",Facebook,covid,misinfo,real,0.8
1010,Apply COVID-19 Contact Tracing Protocol to Realistic Scenarios,cdc.gov,covid,real,real,0.85
1011,"Climate Is Changing, Relations of Exploitation Are Not",globalresearch,climate,misinfo,real,0.8
1012,What Gym and Fitness Center Employees Need to Know about COVID-19,cdc.gov,covid,real,real,0.95
1013,Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,thenewyorktimes,climate,real,real,0.9
1014,"Hospitals in the United States get paid $750 for patients who die from the flu, $17,500 for COVID-19.",Facebook posts,covid,misinfo,misinfo,0.85
1015,We need a presidential debate on climate,theseattletimes,climate,real,real,0.9
1016,How Long Does Immunity Last After COVID-19? What We Know,healthline.com,covid,real,real,0.9
1017,Hannity invites climate denier Joe Bastardi on his show to deny link between climate change and extr,mediamattersforamerica,climate,real,misinfo,0.7
1018,"A WhatsApp chain that says the Red Cross is offering 500 euro bonuses ""for the whole family"" in the midst of the coronavirus crisis.",Whatsapp,covid,misinfo,misinfo,0.85
1019,'I'm worried': Alaska's ice cellars melting due to climate change after being used to store food for generations,theindependent,climate,real,real,0.9
1020,Rebecca Long-Bailey pledges 'climate justice fund' paid by fossil fuel firms,theguardianuk,climate,real,real,0.9
1021,WebMD Doctors: Don't Ingest or Inject Disinfectant,webmd.com,covid,real,real,0.9
1022,NBC Weather Guy Hurricane Michael Advancing the Narrative on Climate Change,cnsnews,climate,misinfo,real,0.8
1023,More Guidance on 'Vulnerable Subgroup' With Diabetes and COVID-19,webmd.com,covid,real,real,0.9
1024,Facebook oversight board urged to tackle climate 'loophole'  Steyer & Podesta form group dedicated to censoring skeptics,climatedepot,climate,misinfo,misinfo,0.7
1025,Teenagers optimistic about their power to influence climate change,eveningstandard,climate,real,real,0.9
1026,Doug Ford could win by losing his legal fight against the carbon tax,nationalobserver,climate,real,real,0.85
1027,Youth Sports Program FAQs,cdc.gov,covid,real,real,0.9
1028,Severe COVID-19 Might Injure the Heart,webmd.com,covid,real,real,0.9
1029,Scotch on the rocks: distilleries fear climate crisis will endanger whisky production,theguardianuk,climate,real,real,0.9
1030,Trial Tests MMR Vaccine to Help Prevent COVID-19,webmd.com,covid,real,real,0.6
1031,Type 1 Interferon Deficiency: Biomarker of Patients at Risk of Severe COVID-19,sciencedaily.com,covid,real,real,0.9
1032,Science roundup: From squirrels that glow pink to global warming discoveries,theindependent,climate,real,real,0.85
1033,"""When using a medical mask, you're supposed to wear the white side out when you're not sick.""",Facebook,covid,misinfo,misinfo,0.8
1034,Infrared thermometer damages the pineal gland,Facebook,covid,misinfo,misinfo,0.85
1035,An epidemic is a financial fraud that contributes to organized crime.,Facebook and Media,covid,misinfo,misinfo,0.7
1036,Rolling With the Changes,cdc.gov,covid,real,real,0.3
1037,Mark Field: Conservative MP seen manhandling female climate change protester at Mansion House event,theindependent,climate,real,real,0.9
1038,"In the wake of coronavirus outbreak, the Ministry of Tourism has issued an order for the closure of Hotels, Restaurants and Resorts in the country till 15 October 2020.",Social Media,covid,misinfo,real,0.9
1039,Covid  19 is a bacteria amplified by 5G technology,Facebook,covid,misinfo,misinfo,0.95
1040,Young Activists Can Sue Government Over Climate Change Supreme Court Says,npr,climate,real,real,0.85
1041,QAnon fights against fake pandemics.,Facebook,covid,misinfo,misinfo,0.8
1042,"Russian investment climate needs further improvement, Kremlin says",tass,climate,misinfo,real,0.9
1043,Nature should be our greatest ally in the fight against climate change,thetelegraph,climate,real,real,0.9
1044,"Power Up: On 50th anniversary of Earth Day, EPA head says climate change 'not the only environmental issue that we face as a planet'",washingtonpost,climate,real,real,0.9
1045,Young Republican Climate Activists Split over How to Get Their Voices Heard in November's Election,scientificamerican,climate,real,real,0.85
1046,"""Ensuring continuity of TB services during the COVID-19 pandemic""",who.int,covid,real,real,0.9
1047,COVID-19 Spreading Faster Than Testing Capacity,webmd.com,covid,real,real,0.9
1048,"A PSOL (Brazilian left-wing opposition party) state representative was arrested, heavily intoxicated, while attending a party during the COVID-19 lockdown in Niteri, Rio de Janeiro.",WhatsApp,covid,misinfo,misinfo,0.5
1049,"Fossil Fuel Giants Claim To Support Climate Science, Yet Still Fund Denial",thehuffingtonpostuk,climate,real,real,0.85
1050,Weather Channel Founder destroys CNN's Brian Stelter on Global Warming,investmentwatchblog,climate,misinfo,misinfo,0.7
1051,Crucial Question: Is There a Climate Change Problem?,realclearpolitics,climate,real,misinfo,0.7
1052,"On the building of the Bill and Melinda Gates Foundation is the inscription ""center for the global reduction of the human population"".",Website,covid,misinfo,misinfo,0.9
1053,"Ophthalmology Practices Hit Hard by COVID-19 Closures, Changes",webmd.com,covid,real,real,0.9
1054,"All deaths by respiratory failure and pneumonia are being registered as COVID-19, according to the Civil Registry website.",Twitter,covid,misinfo,misinfo,0.7
1055,Celeb Idris Elba Blames Virus on Humanity's Destruction of Environment,newsbusters,climate,misinfo,real,0.85
1056,People are dying': how the climate crisis has sparked an exodus to the US,theguardianuk,climate,real,real,0.9
1057,Climate change hits the young hardest. What will we tell our children?,thetelegraph,climate,real,real,0.9
1058,Beto O'Rourke Kicks Off 2020 Bid Warning Of Global Warming 'Extinction',truepundit,climate,misinfo,real,0.9
1059,Nevada Reports Deadliest COVID-19 Week,webmd.com,covid,real,real,0.9
1060,The World Bank data shows that COVID-19 test kits were purchased in 2017-2018.,Facebook,covid,misinfo,misinfo,0.9
1061,"""COVID-19 is a gas. This is what happened tonight in the streets of Rome, thousands of birds lying everywhere.""",facebook and twitter,covid,misinfo,misinfo,0.9
1062,How to Combat Climate Depression,newyorker,climate,real,real,0.9
1063,"Climate activists, aged nine and 12, detained by Indian police for protesting over air pollution",theindependent,climate,misinfo,real,0.85
1064,"Greta mocks US Supreme Court nominee, eco-activists claim judge should be disqualified for position on climate",sottnet,climate,misinfo,misinfo,0.7
1065,London Climate Action Week: Mayor Sadiq Khan launches campaign in bid to explore clean energy solutions and zero-emissions transport,eveningstandard,climate,real,real,0.9
1066,Saddam Hussein talked about coronavirus to his cabinet and army in the nineties. He said that America has threatened him to spread this virus if he doesn't follow their command.,Facebook,covid,misinfo,misinfo,0.95
1067,Renowned climate scientist Konrad Steffen dies after falling through ice in Greenland,usatoday,climate,real,real,0.9
1068,Indian politician Uddhav Thackeray has asked Christians to pray to Jesus to stop COVID-19.,Facebook,covid,misinfo,misinfo,0.5
1069,"Climate change could damage thousands of U.S. bridges, engineers say",upi,climate,real,real,0.9
1070,Activists protest at 'sidelining of social justice' at UN climate talks,theguardianuk,climate,real,real,0.85
1071,"""FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.""",Facebook posts,covid,misinfo,misinfo,0.8
1072,Viral pictures show organ trafficking of COVID-19 patients dead bodies.,Facebook,covid,misinfo,misinfo,0.85
1073,Greta Thunberg: Mural of climate activist submerged in glacial water painted in Bristol,theindependent,climate,real,real,0.9
1074,"There is talk about a possible resumption of face-to-face classes in the school system, dictated by the Ministry of Health.",Facebook,covid,misinfo,real,0.9
1075,American environmentalism's racist roots have shaped global thinking about conservation,rawstory,climate,misinfo,real,0.85
1076,Pelosi Flying out with Democrats to U.N. Climate Meeting in Spain,truepundit,climate,misinfo,real,0.9
1077,"Two crucial years have been lost in climate fight, Greta Thunberg says",eveningstandard,climate,real,real,0.9
1078,Fire and floods: the impacts of climate change in 2018,crikey,climate,real,real,0.9
1079,Maine columnists question spurs an intense discussion of climate change during governors debate,mediamattersforamerica,climate,real,real,0.85
1080,COVID-19: Study shows virus can infect heart cells in lab dish,sciencedaily.com,covid,real,real,0.9
1081,COVID19 dead patients are dropped from a plane in Mexico.,Facebook posts,covid,misinfo,misinfo,0.9
1082,Fallout From Climate Disasters Are Being Exacerbated by a Housing Crisis,truthout,climate,misinfo,real,0.85
1083,Watch: Morano on how the progressive left is loving the coronavirus lockdowns. What will they use it for next? Climate change?,climatedepot,climate,misinfo,misinfo,0.7
1084,Biden's Climate Plan Is a Disaster for American Workers,realclearpolitics,climate,real,misinfo,0.6
1085,Climate' activists seek to ditch polar bear pics as growing populations defy 'emergency' narrative,newswars,climate,misinfo,misinfo,0.7
1086,Mark Carney tells banks they can't ignore climate change dangers,theindependent,climate,real,real,0.9
1087,"COVID-19 Daily: Encephalitis Case Report, Silent Spreaders",webmd.com,covid,real,real,0.85
1088,'Fox & Friends' Guest: Carbon-Based Fuels 'Actually Improve the Environment',thedailybeast,climate,real,misinfo,0.8
1089,The effect of the COVID-19 pandemic on primary healthcare,medicalnewstoday.com,covid,real,real,0.95
1090,Climate Warriors New Weapon of Choice Litigation,realclearpolitics,climate,real,real,0.85
1091,"""CDC Grows SARS-CoV-2, the virus that causes COVID-19, in Cell Culture""",cdc.gov,covid,real,real,0.9
1092,"A strict ban on the selling, purchasing and consumption of alcohol is to come into effect in Ireland under the new emergency health legislation as part of the ongoing effort to fight coronavirus",WhatsApp,covid,misinfo,misinfo,0.8
1093,Climate scientists slam easyJet for creating shortest mainland UK flight: 'Pointless waste of carbon',theindependent,climate,real,real,0.85
1094,UN environment chief quits following travel expense report,theirishtimes,climate,real,real,0.9
1095,WHO welcomes a contribution of US$ 90 million from The Kingdom of Saudi Arabia to support its COVID-19 global response,who.int,covid,real,real,0.9
1096,What If COVID Vaccine Arrives and Many Say No?,webmd.com,covid,real,real,0.9
1097,Over 200 doctors in Italy die every day due to coronavirus.,Facebook,covid,misinfo,misinfo,0.9
1098,Environmental Groups Challenge Plastics Complex Permit,usnews,climate,real,real,0.9
1099,Evaluating Case Investigation and Contact Tracing Success,cdc.gov,covid,real,real,0.9
1100,"Trump's Nominee to Replace Kavanaugh Questioned Date Rape, Discrimination, and Climate Change",motherjones,climate,real,misinfo,0.5
1101,College professor pens scathing and brilliant 'open letter' to teen climate activist Greta Thunberg,naturalnews,climate,misinfo,real,0.8
1102,"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more",eveningstandard,climate,real,real,0.9
1103,How Climate Tactics Paved the Way for Gun Control Bullying,realclearpolitics,climate,real,misinfo,0.7
1104,"A picture titled ""The American Spring, People Revolt Against Trump, The Question Comes to Mind Where Coronavirus Has Gone?""","Facebook, Twitter",covid,misinfo,misinfo,0.7
1105,Defending Land and Environmental Rights Has Become an Increasingly Deadly Endeavor,theintercept,climate,real,real,0.9
1106,Are we facing a hike in carbon tax in Ireland?,theirishtimes,climate,real,real,0.8
1107,WATCH: Bolsonaro claims Brazil is victim of environmental smear campaign,pbs,climate,real,real,0.9
1108,Environmental Watchdogs Failed Neighborhoods of Color During Pandemic,truthout,climate,misinfo,real,0.85
1109,"According to Plamen Paskov, there will be no second wave of COVID-19 since there has never been the first one.",Facebook and YouTube,covid,misinfo,misinfo,0.8
1110,"atalhyk: The 9,000 year old community troubled by climate change, over crowding and infectious diseases",sottnet,climate,misinfo,real,0.8
1111,Coronavirus infects chickens in Pakistan.,Facebook,covid,misinfo,misinfo,0.8
1112,Billie Eilish Sounds Alarm on Climate Change and Trump: 'Vote the Orange Man Out',breitbart,climate,misinfo,real,0.8
1113,"A pandemic is a show, we don't need a vaccine, and the coronavirus always existed.",Facebook,covid,misinfo,misinfo,0.9
1114,Homemade masks are as effective in protecting people from COVID-19 as underwear is effective for preventing gases from smelling.,Facebook,covid,misinfo,misinfo,0.8
1115,COVID-19 Is Causing a Reduction in Child Vaccinations,healthline.com,covid,real,real,0.9
1116,Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,theindependent,climate,real,real,0.85
1117,4 Simple Tips to Avoid Developing 'Tech Neck' During COVID-19,healthline.com,covid,real,real,0.9
1118,COVID Safety During the Upcoming Holidays,webmd.com,covid,real,real,0.9
1119,A Closer Look at Joe Biden's Health,webmd.com,covid,real,real,0.9
1120,CCTV footage shows a robbery happened in Mumbai amid COVID-19 lockdown.,Facebook/Twitter,covid,misinfo,real,0.9
1121,Google gave 'substantial' amounts of money to climate change deniers,theindependent,climate,real,real,0.8
1122,How Coronavirus Could Help Change Climate Policy For the Better,nationalinterest,climate,real,real,0.85
1123,UK Labour Party Supports 10-Hr Work-Week (With Pay Cuts) To Halt Global Warming,prisonplanet,climate,misinfo,misinfo,0.85
1124,"The cover of a book titled ""Tintin in Wuhan"" shows the character standing in an old Chinese market wearing special suits, while people are wearing masks.",Twitter,covid,misinfo,misinfo,0.8
1125,Mike Lee's Tauntaun Theatrics in Congress Are an Encouraging Sign for the Climate Debate. Really!,slate,climate,real,real,0.3
1126,Melinda Gates divorced her husband Bill because he created a toxic vaccine whose purpose is to destroy the African.,Facebook,covid,misinfo,misinfo,0.9
1127,"ID2020 program is looking for world control and the mayor of Medelln, Colombia, is part of the plot.",Facebook,covid,misinfo,misinfo,0.85
1128,Youth-Led Climate Movement Won't Be Ignored,realclearpolitics,climate,real,real,0.9
1129,The Military Has Done Little to Prepare As Climate Change Threatens Guantnamo,theintercept,climate,real,real,0.85
1130,McKenna drops by downtown Ottawa park to reveal new plan for carbon tax revenue,ipolitics,climate,real,real,0.85
1131,The DNC rejects a climate change debate and puts virtual caucusing in doubt,vox,climate,real,real,0.9
1132,"The director of a major hospital in So Paulo, Brazil, has recommended drinking fennel tea and eating bull's liver as ways of prevention against COVID-19.","Facebook, WhatsApp",covid,misinfo,misinfo,0.8
1133,VOYAGER PAD: Clopidogrel Adds No Benefit to Rivaroxaban+Aspirin,webmd.com,covid,real,real,0.9
1134,NASA climate scientist: 'Race justice & climate justice are one & the same: Oppressive extractive plutocracies that colonize & kill black bodies & colonize & kill our planet are one & the same',climatedepot,climate,misinfo,real,0.7
1135,NBC Fondly Recalls 'Beautiful Transformation' of Climate After COVID,newsbusters,climate,misinfo,misinfo,0.8
1136,A prisoner of environment is it time to leave the American west,theguardianuk,climate,real,real,0.4
1137,Tory MP Accused Of 'Mocking' Children Concerned About Climate Change,thehuffingtonpostuk,climate,real,real,0.85
1138,Is Trudeau Hiding Environmental Data Calling Top Secret Because it Exposes his Government?,investmentwatchblog,climate,misinfo,misinfo,0.7
1139,FAQ for School Administrators on Reopening Schools,cdc.gov,covid,real,real,0.9
1140,"A picture of Tiago Leifert, host of Big Brother Brazil, with a group of Globo employees in a restaurant. The caption states that while Globo advocates for lockdown, its employees are hanging out in fancy restaurants during the COVID-19 epidemic.",Facebook,covid,misinfo,misinfo,0.7
1141,NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,healthline.com,covid,real,real,0.9
1142,N95 Face Masks Could Be Sterilized and Re-Used,webmd.com,covid,real,real,0.9
1143,Extinction Rebellion protests - live: Climate activists shut down parts of central London as police arrest more than 140 demonstrators,theindependent,climate,real,real,0.9
1144,Coddling the American mind: Maryland school board eliminates class rank to fight a 'competitive environment',sottnet,climate,misinfo,real,0.85
1145,"COVID-19 Daily: Topol Laments Betrayal, HCP Couples Prepare",webmd.com,covid,real,real,0.8
1146,"Spanish home office has not issued a statement announcing the complete closure of Madrid, the Basque Country and La Rioja.",WhatsApp,covid,misinfo,real,0.8
1147,Ten 2020 Candidates Will Debate in CNN's Climate Crisis Debate Next Week. Here's Where They Stand,fortune,climate,real,real,0.9
1148,Just One Person Can Transmit COVID-19 to Dozens in a Few Hours,healthline.com,covid,real,real,0.9
1149,Emma Thompson Pens CNN Op-Ed Demanding Action on 'Climate Emergency We Created',breitbart,climate,misinfo,real,0.85
1150,Facebook Back to Censoring 'Global Warming' Dissenting Views,climatedepot,climate,misinfo,real,0.7
1151,Kuwait boycotted the products of the Saudi Almarai Company.,"Facebook, Twitter",covid,misinfo,misinfo,0.5
1152,"""America has been vaccinating cattle for coronavirus for years, yet the news tells you it's new and going to kill you all, so go buy a mask.""",Facebook,covid,misinfo,misinfo,0.85
1153,Angela Merkel met the leaders of the German states without security distance or masks.,Facebook post,covid,misinfo,misinfo,0.4
1154,All countries need to do more to prevent the planet overheating but do not give in to climate chan,theindependent,climate,real,real,0.9
1155,"Government of Colombia launched a survey on social media called ""Return to face-to-face classes in schools and universities"".",Facebook,covid,misinfo,real,0.9
1156,"Support UK farmers to meet climate targets, ministers told",theguardianuk,climate,real,real,0.9
1157,COVID-19 Parental Resources Kit  Childhood,cdc.gov,covid,real,real,0.9
1158,"Mixing Suavitel, vinegar, Clorox and water helps neutralize the coronavirus.",Facebook,covid,misinfo,misinfo,0.9
1159,FDA OKs Emergency Use of Roche Antibody Test,webmd.com,covid,real,real,0.9
1160,The environmental cost of making a smartphone,naturalnews,climate,misinfo,real,0.95
1161,Flygskam: What is the flight-shaming environmental movement that's sweeping Europe?,theindependent,climate,real,real,0.9
1162,The UN climate talks are over for another year  was anything achieved?,theguardianuk,climate,real,real,0.9
1163,"The Drilldown: Environmental groups can fight climate change without fear of reprisal, chief electoral officer says",ipolitics,climate,real,real,0.85
1164,"Children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections, including coronaviruses.",FB,covid,misinfo,misinfo,0.7
1165,500 Scientists Sign Letter to UN: 'There Is No Climate Emergency',humansarefree,climate,misinfo,misinfo,0.7
1166,Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,channel4uk,climate,real,real,0.9
1167,COVID-19: Scientists identify promising drug candidates,medicalnewstoday.com,covid,real,real,0.9
1168,"The governor of So Paulo, Joo Doria, was dancing at a party, ignoring the recommendations of the Ministry of Health to avoid crowds.",Facebook,covid,misinfo,misinfo,0.5
1169,Climate change report: main points,theirishtimes,climate,real,real,0.9
1170,How Justice Ginsburg's Death Could Affect Future Climate Rulings,scientificamerican,climate,real,real,0.9
1171,Streaming music hurts the environment more than records or CDs ever did,theindependent,climate,real,real,0.8
1172,FDA: COVID Vaccine Could Be Given Before Tests End,webmd.com,covid,real,real,0.8
1173,How to stay safe while voting during a pandemic,medicalnewstoday.com,covid,real,real,0.9
1174,Azithromycin and ivermectin are efficient medicines to cure COVID-19.,Facebook posts,covid,misinfo,misinfo,0.8
1175,Chinese police crack down on suspected coronavirus patients.,Facebook,covid,misinfo,misinfo,0.6
1176,Case Series of Multisystem Inflammatory Syndrome in Adults Associated with SARS-CoV-2 Infection - United Kingdom and United States,cdc.gov,covid,real,real,0.9
1177,Empress Greta Thunberg Is Disappointed In Her Subjects: Urges the world to act 'with necessary force' on climate,climatedepot,climate,misinfo,misinfo,0.85
1178,Coronavirus cases linked to 5G rollout.,Facebook,covid,misinfo,misinfo,0.85
1179,COVID-19: How South Korea Prevailed While the United States Failed,sciencedaily.com,covid,real,real,0.85
1180,To Predict Effects Of Global Warming Scientists Looked Back 20000 Years,npr,climate,real,real,0.9
1181,"Amy Coney Barrett Says Climate Change Is a ""Very Contentious Matter""",truthout,climate,misinfo,real,0.9
1182,Prevent Getting Sick,cdc.gov,covid,real,misinfo,0.5
1183,Latvian opposition politician says government has given 250 million euros of COVID-19 crisis money to local millionaires and it should be given as helicopter money to evereybody instead.,Facebook,covid,misinfo,real,0.85
1184,Tempered Emergency: The Climate Change Summit in New York,globalresearch,climate,misinfo,real,0.9
1185,The Climate Cult's 'Grave New World',realclearpolitics,climate,real,misinfo,0.8
1186,Oil Companies Admit Climate Change Is Real Say Dont Blame Us,dailybeast,climate,real,real,0.7
1187,"Novel COVID-19 survey takes nation's social, mental ""Pulse""",cdc.gov,covid,real,real,0.9
1188,Risk of Severe COVID May Hinge on Type of Asthma,webmd.com,covid,real,real,0.9
1189,The Irish government is giving 350 to every resident in the country as part of its response to COVID-19.,WhatsApp,covid,misinfo,misinfo,0.7
1190,Everyone who attended the noise barrage in July in support of ABS-CBN Corp. contracted COVID-19.,Website,covid,misinfo,misinfo,0.85
1191,"Climate crisis: Great Barrier Reef has deteriorated to 'critical point' amid warming seas and pollution, major report says",theindependent,climate,real,real,0.9
1192,CVS Doubles Testing Sites Across Country,webmd.com,covid,real,real,0.9
1193,Coronavirus vs. allergies: What to know,medicalnewstoday.com,covid,real,real,0.9
1194,The government is falsely passing off flu cases as COVID-19.,Facebook,covid,misinfo,misinfo,0.8
1195,"Leaving half an onion in your home will ""catch"" the coronavirus and prevent people from getting it.",Facebook,covid,misinfo,misinfo,0.95
1196,Green Globalists Exploit Coronavirus to Advance 'Climate' Agenda,climatedepot,climate,misinfo,misinfo,0.75
1197,"Global warming a total ""hoax and scam"" run by corrupt scientists, warns Greenpeace co-founder",thedcclothesline,climate,misinfo,misinfo,0.9
1198,Meet the 'Collapsologists': 'Pockets of anti-capitalists & environmentalists are preparing for the end of civilisation  or even humanity itself'  'We could disappear',climatedepot,climate,misinfo,real,0.8
1199,NIH begins large clinical trial to test immune modulators for treatment of COVID-19,nih.gov,covid,real,real,0.9
1200,I Was Living In A Hostile Environment': Being LGBTQ+ And Homeless,thehuffingtonpostuk,climate,real,real,0.95
